,0,1,2
290,"Here are today's free walk-up vaccination sites and testing sites.

Free flu shots are available at select sites!… https://t.co/UA2vOJNffB",dc_ova,"Washington, DC"
291,"Many thanks to the 500+ people who joined @ClearLaw's fascinating ""COVID-19 Vaccination Policy"" webinar that I mode… https://t.co/WevhKeX7fX",RKWDC,"Washington, DC"
292,"Some of y'all would stop this anti vax madness if they offered pork chops, pork rinds, scrapple, hog maws, pig feet… https://t.co/H30E55elX2",BrMusaWali,"Baltimore, MD"
293,"As we prepare for #TheReturn we wanted to confirm our COVID vaccination rates. If you are a member, partner or plan… https://t.co/Akg1qtwICh",jdgailliard,"Rocky Mount, NC"
294,"@BlameCannada @stephenasmith I too have seen stupider things in 25 years. But, this is stupid, too. 

Kyrie provide… https://t.co/VHzpGxfW7m",kylehorton1977,"Greenville, SC"
295,"@Ordinary1World The local hospital mandated vaccination for staff.  Suddenly, my MIL'S  hospice has been able to hi… https://t.co/m9beiY0JSz",Janet30391799,
296,@timrchurch @patriottakes The vaccination of adults helped the incidence and deaths drop drastically The more vacci… https://t.co/q17LEJvY0K,lombarc1,New York
297,"During his pointless attention grab, Kyrie stated he wasn’t going to let anyone high jack his voice. When asked by… https://t.co/lrm1FqXafE",wilcharters,St. Louis
298,Talked to a college kid who doesn’t want to get the vaccine. But their favorite artist is holding a show that she s… https://t.co/nrIRaEE4i5,ChrisTest82,Atlanta
299,@VABVOX If everyone did that we would eventually achieve herd immunity without vaccination. But of course there wou… https://t.co/7HcQcXdjhD,flcfly101,"Austin, TX"
300,"@RQPoliticalBlog I do agree, FREEDOM! What part of that do democrats fail to grasp? and personally that was my path… https://t.co/XKuAymC2tZ",MyTruthStorm,Rensselaer NY
301,"@michaelharriot It’s not a “personal choice.” 
A tattoo is a personal choice as it affects only the person who gets… https://t.co/UH3ODJ9MNy",RobAbramowitz,Upstate New York City
302,".@MichaelJElston @bobcesca_go 

Wouldn't @GovAbbott's executive order ending #COVID vaccination mandates have to en… https://t.co/DbrbcSlK5V",DoodyGiuliani1,"Chicago, IL"
303,"@sweetsummer_t @WNCN yeah just like the vaccination for the flu, pneumonia or TB so why take those too. I'll repeat… https://t.co/u4abx7O8bb",amayadeakins,"Fayetteville, NC"
304,@wusf @blefever10 Can't they just require a negative PCR test but waive that with an optional vaccination record?,benostrowsky,"West Monroe, LA"
305,.@MayorBowser added flu shot opportunities to walk-up Covid-19 vaccination site. Both vaccines are safe and safe to… https://t.co/0NdOi3YI9Q,susi2431,
306,At what point do they laminate my vaccination card? I’m trynna look official.,BvsedStorm,
307,@CarolineMCorbin A quick follow up to my answer from last night. ERISA won’t help school boards in Florida. They co… https://t.co/jYfsVwdiQC,JACoganJr,"Hartford, CT & Harvard, MA"
308,"FIRE THEM ALL AND THE HEAD Idiot as well

https://t.co/eWgHwy0Dhu

John Catanzara, head of the city's police office… https://t.co/aIMcpOeuGl",cindermis,"West Springfield, PA"
309,Fox News had a requirement for vaccination mandate. But you know @TuckerCarlson just works there. He should quit be… https://t.co/0y0PhgTMvt,celset2,"Alabama, USA"
310,"The woman at the Conway School Board Meeting sitting next to me, laughing at vaccination and yelling about natural… https://t.co/auE4Gxov09",dunekacke,"Pickles Gap, Arkansas"
311,@lifebeyondmd @CNN What do you people say to the police unions fight the vaccination mandate across the USA,MxyzptlkTwo,
312,"This is the failure of @GovCox &amp; @UtahGOP to #StopTheSpread of #COVID19, not having #mask  &amp;  #vaccination mandates… https://t.co/X7XbsgfaT9",PoliticalUte76,"Salt Lake City, Utah, USA"
313,@Jo2926 @CNN @PressSec @jrpsaki And what do you say to the police unions fight the vaccination mandate,MxyzptlkTwo,
314,"@rwang0 @AndrewNebus @lizkmiller @SASsoftware Indeed! No substitute for the in-person, esp with old friends. This t… https://t.co/pJEX2zqrQh",JohnBalla,"Raleigh-Durham, NC USA"
315,Karl-Anthony Towns reacts to Kyrie Irving's decision to not get COVID-19 vaccination https://t.co/y8IwHfAym6,theProgSoapbox,"Richmond, Va"
316,"KYRIE IRVING RESPONDS TO MEDIA REGARDING VACCINATION STATUS | https://t.co/u29wPFCWS0 via @YouTube

#Freedom… https://t.co/B6I8li40v1",YungPol33042975,"Mississippi, USA"
317,@Ballislife SAS is dangerous 🤦🏾‍♂️ . Kyrie signing with the Nets was at a totally different time. The mandatory vac… https://t.co/545wmLSxy5,labworkbball,"New Jersey, Maryland & Chicago"
318,"1/ At the #SecondCommittee discussion on Macroeconomic Policy Questions &amp; Financing for Development, Indonesia🇮🇩 on… https://t.co/fGc9eUTcRY",indonesiaunny,"325E 38th St, NY,NY 10016"
319,"What this doesn't mention is that he's already worth about $120,000,000.

Nike-Backed Kyrie Irving Could Lose $15M… https://t.co/ER6mRdI9he",Varkentine,Seattle
320,"@DezBryant He can do what ever he wants to do.. but there are consequences to his choices, the vaccination is requi… https://t.co/tvf2WCGp7D",KleimolaMark,duluth mn
321,"People go to the trained experts and trust them to:
Fix cars.
Fix teeth. 
Care for broken bones and illnesses.
Fix… https://t.co/IjhRNi3CxK",ValeriePassmor6,USA
322,But choices are lmao y’all fools so stuck on the word vaccination y’all completely MISSING the point. You want to w… https://t.co/qX4CDQwSI3,stayloqui,"East Orange, NJ"
323,"Fly like a butterfly, sting like a vaccination shot...fool! https://t.co/V2XnLH7pwk",JDSchneider6,"Colorado, USA"
324,And if you want to work at a private company or attend a private institution/school that requires proof of vaccinat… https://t.co/8UbJbj8zTZ,stayloqui,"East Orange, NJ"
325,"Mind you, not only did these board members vote against a universal testing cadence or vaccines, but they also vote… https://t.co/tuE53EoHEd",KhanAbiaSarwar,"Cambridge, MA"
326,"Still can’t believe the thought process of the 20 something y/o’s, ….when I had my first COVID vaccination,  just b… https://t.co/HW6WWIeFpY",bowbauer,Newport Beach
327,"@emoffet @PatHarrigan1 @ArasRenyi Check out how many have died after vaccination on vaers website. 16,000+climbing… https://t.co/kDLCHz851S",Dbllrebel1,"Texas, U.S.A."
328,"Board Members Parra, Prescott, Ross, and Alston letting our community down yet again by refusing to take any sort o… https://t.co/1QKMzgy76h",KhanAbiaSarwar,"Cambridge, MA"
329,So he didn’t go to school in New Jersey?! Where you need vaccination records all throughout schooling?! Make it mak… https://t.co/voy18dpLGh,stayloqui,"East Orange, NJ"
330,"@von_lex @Therat4623 Haha love it 😆. 

It depends on where you’re going in the U.S. COVID metrics are dropping rapi… https://t.co/nWRWZlKeS8",realTomChapman,"36.8508° N, 76.2859° W"
331,"So #KyrieIrving won’t get his #vaccination, went in his insta and made a legal pivot move to create questions about… https://t.co/bhZ2h3i017",lonjets,"Palm Beach County, FL USA"
332,@jpauley611 @JackPosobiec We’re also free to challenge blatant stupidity when it manifests. Like invoking a require… https://t.co/kM35F8aYT2,BuckGuy52,Portage Lakes OH 
333,Breaking News: Trump Appointed Judge Blocks United Airlines From Imposing Vaccine Mandate On Employees Seeking Exem… https://t.co/9T9iWJpU8h,AmricnPatriot1,"Orlando, FL"
334,"@HamasakiLaw And unsurprisingly SFPOA are lying. On Sunday, Boudin was praising SFPD (vaccination didn’t come up). https://t.co/TEAkBIOkzB",tigerbeat,San Francisco
335,A few photos from our wedding (much higher quality/resolution ones coming). It was a fabulous weekend at a ranch in… https://t.co/pwVbwPsOmW,jonmasters,"Cambridge, MA, USA"
336,@DuvalSchools is joining with #CommunityPartners🤝 to honor those who’ve died during the #COVID19 pandemic and encou… https://t.co/b0fZPfTiL8,EdwardHWhiteHi1,"Jacksonville, FL"
337,@Joel_inPA @tiedied2much3 @GovernorTomWolf One of these states has the highest vaccination rate. The other has the… https://t.co/o5S1awssa4,bigstape,Somewhere near Phillydelfya
338,@KidCreole3 @OccupyDemocrats No. No such thing as 'Hippo' rights. You have to provide proof of vaccination status.… https://t.co/mC4SvRFnIK,margaretkibbee,The Mississippi Delta
339,"I can't stand the comparison when people say ""but private businesses have mandated vaccines before"".
That is true,… https://t.co/UPkOoDgMsA",JPfaff1028,NYC 
340,Lol empty Honda Center for opening night. Stupid vaccination bullshit. #anaheimducks,billy_brz,"Temecula, CA"
341,@WehrliPubs @AC360 @randikayeCNN Remember just because you have 15 times the amount of Adam body from the test that… https://t.co/sj5XEDJzQm,Joypear27472467,
342,Y’all would have a lot higher vaccination rates in Spartanburg if you deep fried that thing and served it at the Fair.,becca_wald,Charleston SC
343,"Grab your free ticket and join us Sunday at @lakesandlegends 12-5PM with 20 of our favorite makers! 🍻
*Proof of vac… https://t.co/aA0gBpjdgZ",mplscraftmkt,"Minneapolis, MN"
344,“This is clearly an anti-mandatory vaccination graphic intentionally made to look exactly like a swastika” https://t.co/UZ1MVPrwBx,NorthBankNorman,"Pacifica, CA"
345,"Proof of Vaccination is the new POV, and I don’t like it. 😔",YALLSOMEHOESSSS,Oak Park
346,@WIPMorningShow ask big Rube about vaccination.. we dare you,carla215,Illadelph
347,Many of you have asked about the booster vaccination availability! It is now available plus you will receive a $25… https://t.co/ORYa9JpJNA,revkda,"Gainesville, FL"
348,"@therecount Catholic theology, as the archbishop knows, values the integrity of a “well-informed conscience.” There… https://t.co/imWZhfr3Cz",Lynn_Henning,"St. Simons Island, Ga. "
349,@Laurie_Garrett Mandating vaccines instead of doing an effective job of persuasion with trusted messengers was just… https://t.co/2BNGyONT3D,LarryBoorstein,"Virginia, USA"
350,"You got a vaccine for a virus with a 99% survival rate. You wear a mask religiously, despite said vaccination. You… https://t.co/JbivES4Hmy",garrettlane1223,"Jonesboro, AR"
351,Comparing a vaccination to War…….War!!?? Lmao https://t.co/D2JowyEZwn,Khosen1_,
352,"For the booster, do they notate that you’ve received it on your vaccination card?",slambookfever19,
353,Thank you @HISDBenefits @houstonisd for coming to @Thompsonhisd staff #Influenza Vaccination ☑️ @brame_manuel… https://t.co/uf0zansVrD,SamuelBrazielSr,
354,@JmdullJason @LMTLMTLMT @GovernorTomWolf One of these states has the highest vaccination rate. The other has the lo… https://t.co/lCnCDs6fEs,bigstape,Somewhere near Phillydelfya
355,@reopenpa Most of Europe has a higher vaccination rate than the United States,bigstape,Somewhere near Phillydelfya
356,The vaccination gap is narrowing between Black and White Americans with more Black people taking the shot(s)… https://t.co/9mDWsjUy1m,DeniseFromCalif,"California, USA"
357,@banterbury4 @BFriedmanDC Comparing vaccination to the Nazism is extreme trivialization of the Holocaust. It’s also beyond moronic.,lghcox,Massachusetts
358,If you’re coming out tonight please bring proof of vaccination and a mask!,lukeleetham,"Salt Lake City, UT"
359,@ampstonebrick @cynthiaLea15 @BlueCheese911 @DonaldJTrumpJr No vaccine has ever been 100% effective &amp; previous vacc… https://t.co/bxBgPhHPgj,CharonBrad,"Phoenixville, PA"
360,Maybe stop firing people over vaccination status? Pretty easy solution to the output problem. https://t.co/UgZY6y7RuT,jjkirby18,"Eagan, MN"
361,We are 6 weeks out from Thanksgiving. Vaccination and at home rapid antigen tests are literally the diff between a… https://t.co/PswaiWtpVw,BadlandBison,Land of Oceti Sakowin. SoDak.
362,If you have an iPhone running the beta version of iOS 15.1 and your vaccination records are in myIR (locally this i… https://t.co/bhNp8mmyVd,dewbertdc,"Washington, DC"
363,"#Psaki: Unquestionably, Federal law overrides State law.

Me: Then how can certain States ""legalize"" marijuana?

Ne… https://t.co/UM0Yqk4vwC",Free_PatriotIII,United States
364,@Joel_inPA @PeteSinclair343 @GovernorTomWolf One of these states has the highest vaccination rate. The other has th… https://t.co/nzrOY68MFV,bigstape,Somewhere near Phillydelfya
365,@CBSMornings Thank you Scott Kirby now encourage Biden to mandate travelers present proof of vaccination to TSA,macmic777,
366,@JudgeClayJ @PressSec The added stress of all the badgering of people on the vaccination status is causing folks to… https://t.co/Nm6RY06AB4,Rongarc13542529,"McKinney, TX"
367,It's clearly an anti-mandatory vaccination graphic BASED ON A NAZI SWASTIKA! https://t.co/YkrRn956wv,Thalassatx,"Euless, TX"
368,@michaelmcarver What makes you think because someone chooses not to get a test vaccination that literally makes zer… https://t.co/Vjv5K1JVPU,frankgarcia65,charlotte nc
369,Our Covid-19 vaccination clinic at the Fairgrounds is now open Tuesday through Friday from 10:30am to 6:00pm. This… https://t.co/4a33dCpRix,KCPublicHealth,Kern County
370,thought someone that confused vaccination side effects with an STD said sum lmao YUCKKKKK never liked her 🥴😂 https://t.co/3hTF9VFaTf,shorty_munoz1,"Houston, TX"
371,"Open SmartNews and read ""Toronto Zoo announces mandatory COVID-19 vaccination policy for visitors"" here:… https://t.co/VsvZVlghoA",GRevmgbrown4,"Washington, DC."
372,Hey @GovGianforte we made the National News on @CBSNews tonight thanks to your laws prohibiting the implementation… https://t.co/ngtuBQW4eV,problembear,cave near missoula montana
373,For candidates hoping to be city leaders and approve policies and promote vaccination that fail to disclose one won… https://t.co/Zh2MZKvh1b,DanLevin_inJC,"Jersey City, NJ"
374,Sticking up for the 10s of thousands  of people who lost their job because they don’t want to be forced into a vacc… https://t.co/US0zmzZtso,Luke_double_e,"Lincoln, Rhode Island"
375,"Ready for the Lion King! We had to show ID, our vaccination cards, and we must wear masks at all times. America has… https://t.co/qKLERVkgnX",arbevere,"Ashland, OH"
376,"Following last week’s firestorm, Jersey City Times asked all candidates, including the mayor and current council me… https://t.co/cyRHEeeKJY",JerseyCityTimes,"Jersey City, NJ "
377,Nah people really out here buying fake vaccination cards 😭😭😭,SaucedoSomeres,
378,"… and I just got my Booster shot today

#COVID19 
#Vaccination https://t.co/19aFCUnejC",3sh__02,¢ιту тнαт иєνєя ѕℓєєρѕ 
379,"I just got my booster. Like literally sitting in the post-shot waiting area. And as much as I hate W*lmart, I have… https://t.co/OfRSNcTqh2",mmburnham,"Reno, NV"
380,"@seanhannity Sean, when people talk about abortions rights they state “ it’s my body, my choice”. But no one on Fox… https://t.co/5bCs2RpFwx",Keithhundley1,"California, USA"
381,@MNUFC You’ll be lucky to have any attendees at the last four home matches at this rate. Be the first major league… https://t.co/Z6F6g8NzpG,Jessica14408392,"Minnesota, USA"
382,Vax’d and masked for my daughter’s volleyball game tonight.  The school we are at requires masks regardless of vacc… https://t.co/bbBTKpBgm7,bigfootfakeitis,
383,"I can’t believe, y’all are really going to allow vaccination status to prevent you from living your best life… it’s not that serious man.",bookubrush,"Dallas, TX"
384,This was always going to the outcome. The super crazy anti-vaxxers figured if Trump could takeover the GOP then may… https://t.co/Cr6a8wRQVK,ToddEberly,"California, MD"
385,Kyrie really don’t give a fuck… i mean damn .. he going to let that vaccination shit fuck his bag up and being on the court with his bros..,RoNewton3,"Greece, NY"
386,@imprisionedby @GovernorTomWolf One of these states has the highest vaccination rate. The other has the lowest. Gue… https://t.co/QAn2tWpdbM,bigstape,Somewhere near Phillydelfya
387,"@moonbeamvotes “Hundreds refuse vaccination, face being terminated for their personal decisions” is the headline I… https://t.co/RBX2YH98xS",dsfreem,
388,"2021. Where to even begin…

“Georgia Senate candidate Herschel Walker has canceled a fundraiser with film producer… https://t.co/EM13ZJcE54",michaelkasdan,New York City
389,@CarnivoreIs Nope that’s not what I said. You should get vaccinated to protect children’s EM people who can’t be va… https://t.co/6wqw1rDa9b,a_cois,Neerchokikoo Village
390,"Brian Wagner, firefighter-paramedic, on really, really, really not wanting a vaccination mandate: https://t.co/A8iIRek3sv",FrederickMelo,"St. Paul, Minneapolis"
391,Blood sucked out of vaccination site is gello https://t.co/0VPFgCCDDE via @BitChute,bluesbaby5050,"Maine, USA"
392,And got a tetanus vaccination. Cause vaccines work. Period. https://t.co/u0rOEfHkal,YungLittlefoot,"Flexington, Kentucky"
393,"Patrick, firefighter-paramedic, says his crews have been transporting COVID patients and they can make a vaccinatio… https://t.co/zycsLL7is5",FrederickMelo,"St. Paul, Minneapolis"
394,Being anti-vaccination really messing up his future bag. Just get vaccinated 🤦🏻‍♂️ https://t.co/SPl4iEGgqk,KearnyCanela,"Denver, CO"
395,"Really disappointing move by IBM, and really disappointing to see John Gruber continuing to cheer on forced vaccina… https://t.co/ztzmO1PGPZ",jwsherrod,"Murfreesboro, TN"
396,Speaker on the left is concerned about climate change and carbon emissions. The speaker on the left doesn’t want a… https://t.co/ZtzY2JOdeX,FrederickMelo,"St. Paul, Minneapolis"
397,I interviewed a UIC student and sports fan at the James Stukel Tower dorms. I discussed his interest in sports and… https://t.co/UsPQWOomvf,RAHMBOMB13,"Chicago, IL"
398,"While describing this symbol as an anti-vaccination graphic, the Walker campaign forgot to add ""in the shape of a s… https://t.co/3FZbkvy3rJ",epjones1983,"Cleveland, OH"
399,@JeanSebastien99 Vaccination mandates as a public health measure to quell a deadly global pandemic have absolutely… https://t.co/FeQR3dQgLv,davitydave,"Napa, CA"
400,@sdallnct @EricksonKiva @dabeard @ChrisVannini Because antibodies have been proven to be stronger than the vaccine… https://t.co/7pZZe1cqBO,CoreyOstrum,"Charlevoix, MI"
401,". . 2/kill all non-white, non-conservatives who don’t refuse the vaccination. 

Is this true? They’re saying the bl… https://t.co/5CSj4gjlrR",GailLedesma3,"California, USA"
402,"Have a wonderful Wednesday Everyone!..🙏🏽♥️👍🏽☀️

@valleyanimal 🙏🏽♥️🐱🐶🚶🏾‍♂️
#ValleyAnimalCenter 🐶🐱♥️
#AdoptDontShop 🐾… https://t.co/yVSlqn7Sdl",SantosJlorenzo,"Milky Way Galaxy,Planet Earth "
403,"@ChrisjamesCincy @MKEnick @DavidAFrench Oh I think if you want to fly, go to restaurants, bars, etc. full vaccinati… https://t.co/Ccisu7MRYB",D_mcP,...on the burning shore
404,"Do you agree? 
#NYC #wednesdaythought #vaccination https://t.co/OC0X1kjKnL",LeeroyPress,"New York, NY"
405,"Got my routine #COVID19 test right in my neighborhood from an NYC Mobile Bus. #LittleGuyana

S/O to CM… https://t.co/lj9lX550vs",MohamedQAmin,"Queens, NY"
406,"Tickets Now On Sale! #Dune

🎟 {link in bio}

*Vaccination proof and Valid ID required before entry. #ThankYou https://t.co/7V3FqtqvGf",TheMajesticBay,Ballard
407,CVS receipt: Free COVID-19 vaccination with your next purchase.,KC_Football_Guy,
408,@suetay45 @GretchenL0703 @ktflsu @el71254 @Scottcrates But then...! #vaccination ! https://t.co/iOtkGmXKfv,Jerseygirlnb1,"New York, USA"
409,"@BlueTunaTiger @LouisianaGov @LA_Regents Their, not its. 
Promoting vaccination is a clear example of prioritizing citizens.",MatthewDWhite2,"New Orleans, LA"
410,"@mirovinna1 @GovInslee You realize that Canada has a higher vaccination rate than the US, right? And a lower rate of a Covid.",SamIamLax,Left Coast
411,@ChrisjamesCincy @MKEnick @DavidAFrench Done! How about you do your part to put an end to the pandemic tho? Vaccina… https://t.co/dVNUuenOOH,D_mcP,...on the burning shore
412,@Kelly_Oes Great to hear!  No vaccination card needed (Madame Tussauds doesn’t require it) &amp; masks should be worn i… https://t.co/nK4v8ua9n5,BrianSikoff,"Burbank, California "
413,@DanjoUnchained @wyshynski @NJDevils Blackwood is leaning towards vaccination. I think it was just concerns he had… https://t.co/8rT1GAAYG2,Turducking_,My left nostril
414,Live Stream/Show Announcement! Join us on November 1st at 8 PM. We are back together with Lincoln Hall and Audiotre… https://t.co/cuWvWjw7iX,heyriddleriddle,"Chicago, IL"
415,At this point all this vaccination talk is ANNOYING 😒 https://t.co/pCspZ8l308,Kinglytle30,"Columbus, OH"
416,@that0ne6uy @JoyTaylorTalks @KyrieIrving didn’t get on @DukeMBB ‘s campus without showing his vaccination records.… https://t.co/IdKN5v23Jy,SamphillJr,"Harlem,  New York,  USA"
417,@spsnomad @Crepes78 I think it was the vaccine mandate that bumped up the vaccination rate because so many federal… https://t.co/jy7Z0u6cp8,realTomChapman,"36.8508° N, 76.2859° W"
418,And they’re requiring a negative test or proof of vaccination to get in. Love to see it.,Lex_Wayne,"Charlotte, NC"
419,@spsnomad @Crepes78 Virginia is in the top 10 states with the highest vaccination rates and all the COVID metrics a… https://t.co/U25EmodDQ3,realTomChapman,"36.8508° N, 76.2859° W"
420,“I’m Fully Vaccinated” 🚩🚩🚩🚩🤣🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩 #vaccination,realNickMiles,"Delaware, USA"
421,"Experiment:

Take the current rate of COVID transmission from vaccinated people (+- 30%).

Now inform every place r… https://t.co/HQAXINWYMJ",Joel_Kurtinitis,"Des Moines, IA"
422,@ToniRLew Unless they will require proof of vaccination.,dmj97213,"Portland, OR"
423,"It's your choice. 
#CovidVaxExposed
#COVID
#vaccination #VaccineMandate
#VaccineSideEffects
#VaccinesSaveLives… https://t.co/lsyQ0fxzAH",feniangirl,
424,@forevershinin The vaccination challenge is not going anywhere,Knickanators,"Brooklyn, NY"
425,Southern Baptists thinking that a Covid vaccination is just a form of control while simultaneously believing in hell is some top-tier irony.,drewprice,"Austin, TX "
426,@boutros555 The problem here may be that while we will get immune memory from infection or vaccination and infectio… https://t.co/kC1IMLhioK,NRafter,"iPhone: 40.682709,-73.836845"
427,As of November 4th LA has set a mandate that requires everyone to be fully vaccinated to attend indoor events. To r… https://t.co/TLedFRiXn3,Bsidelosangeles,Los Angeles
428,Jay Williams gotta be the softest devils advocate in sports debate. Who cares if it’s kyrie’s choice of vaccination… https://t.co/BPSIFdNvDn,___unclephil,"Durham, NC"
429,#NEWS: @AsaHutchinson calls bills that would require employers to count natural immunity the same as vaccination “u… https://t.co/HjMHDQFV7T,eppersports,"Fayetteville, AR"
430,"FYI: Whoosh Nation🌊,

Here Is Some Vital Information Regarding Entry Into The Game This Weekend At Grambling State.… https://t.co/ZO3wocNBda",OceanAlumAssoc,"Houston, TX"
431,"Not that this is the point per se, but the Nazis actually relaxed Germany’s mandatory vaccination rules. https://t.co/pBS2cgSTNB",mattyglesias,"Washington, DC"
432,@Bubblebathgirl because 3/4 of a million Americans  have already died from the virus and vaccination is the way out… https://t.co/h6LAV6hN57,chilira,"Chicago, IL USA"
433,@GovMurphy Please mandate vaccination for people entering our workplaces.,Rottenkowski,"Newark, NJ"
434,@Unclekage I received from a person I thought was a friend a whole laundry list of links to conspiracy theories aga… https://t.co/YivjTBB9Y9,MichelMephit,"Littleton, CO"
435,@noleaks08 @SenRickScott It is up to them to get the vaccination! I definitely Back the Blue and deeply appreciate… https://t.co/R9qixx6fBy,charwilson35,Tallahassee FL
436,"@fleshytimeclock @wcpublichealth While it wasn’t built into the contract, I’ve worked with staff to help provide a… https://t.co/6CTPimCjf5",TravisRadina,"Ann Arbor, MI"
437,The only person who consistently stood up for black athletes on that garbage show @FirstTake got removed because he… https://t.co/71OQfjlPgH,GoFlockUrself,"_/*\_ , Tx "
438,"@MikeBallenger5 Then loses money when they play in California the 4 times since over 1000 people in an arena, have… https://t.co/QwXyuwqJQ3",justin181174,
439,"FWIW, this map used to be solid red a few weeks back, because all of the state was at the highest risk level, which… https://t.co/zhm59qJB2H",CEStephens,"Baton Rouge, Louisiana"
440,@g_berish @JCrongeyer I remember asking my mom what that scar was on her arm. Imagine the scars left on people who… https://t.co/JI3Ysih95d,BurnettCynthia,United States
441,@whatamifor @FreckledLiberty Nevermind the fact that vaccination rates are different among cohorts.  The highest ri… https://t.co/vTGVbetUC1,TheRightDuff,"Washington, DC"
442,@geowest96 @JesseKellyDC Quite the opposite. Vaccination rates are going way up for employees of companies who mand… https://t.co/hvE0M4E6VI,bonggamom,
443,"Churches that ban vaccination:

Dutch Reformed Church
Church of the First Born
Faith Assembly
Endtime Ministry

Not… https://t.co/g3oUqLmzHY",SardonicOldMan,"Brewster, NY"
444,"Reminder, these are the same people who are *currently* arguing that taking a proven vaccination to protect their n… https://t.co/q3vTf9UXzF",TheSydneyA,Worldwide 🌏
445,@cmthomas_cm Yup. But the plebes are too focused on Kyrie’s vaccination status.,majornija,"Pittsburgh, Atlanta"
446,@thegoodgodabove Refusing to get a Covid 19 vaccination.,donnalbrown1998,"Ellicott City, MD"
447,Odd! The Pope is encouraging the Covid Vaccination 🤔 https://t.co/KE2q7IoloC,lparis2mozart,"Kyle, TX"
448,Instead of being grateful he chose to attack me for asking his vaccination status (he refuses to do it). Later he p… https://t.co/IEauHv9zq8,MrVonSprinkle,"Seattle, WA"
449,@BruceLund4 @AreYouIn729 @patriottakes All the time? I haven’t seen a single case since we began vaccination.,toreyj01,"Detroit, MI"
450,"The right believes that companies should have the absolute discretion to fire people simply for being gay, but they… https://t.co/mvMQ2I5xTL",UrbanAchievr,out of my element
451,People have the right not to get the #vaccination and companies have a right to fire them if they don’t. There are… https://t.co/jvZuN2Qdrh,RaferWeigel,"Chicago, IL"
452,Haven’t lounged maskless in any retail space since half of forever. Taking advantage of the vaccination pool! https://t.co/2oqjSyxMDM,kencf0618033,"UTC-7, Köppen BSk"
453,"@WhosTalkingHere @DrArwady Yes, I’m actually so over masks. I enforce them at my job because I have to. I believe b… https://t.co/7RMvXvGpmV",prestonnleee,"Chicago, IL"
454,"@DefenseOne @ECBHowe @MilArchUSA
For God has not given us a spirit of fear but of power &amp; love &amp; a sound mind, self… https://t.co/APGrKkcBSg",RealYeshua1,TN USA Blue/Green Planet Earth
455,@realTuckFrumper Pope Francis:”Being vaccinated with vaccines authorized by the competent authorities is an act of… https://t.co/2ZaPyrBAqN,skpickering10,"Pennsylvania, USA"
456,"@chrislhayes I’m just exiting mass right now Chris, mbut even a Saint like me knows that students here in NY,4 exam… https://t.co/LZnxNKexu4",SilSterinPensel,"Manhattan, NY"
457,I DID MY FIRST COVID-19 VACCINATION. #COVID19 #PFIZER @ Clayton County Health Department https://t.co/sxBHlaNEpW,haitianboyjeff,"Atlanta,GA"
458,do students and branch campuses next! my little brother’s roommate at brandywine isn’t vaccinated and I think it’s… https://t.co/Ebs0N3h6Nn,Adriana_Lacy,"Los Angeles, CA"
459,ILL BE HOSTING WING WEDNESDAY TODAY 10/13 @ TRADEMARK SF 🤍! NO COVER😏 BUT MUST HAVE VACCINATION CARD TO ENTER😬! WIN… https://t.co/9OeOktSNML,boujiegypsy,"San Francisco, CA"
460,There needs to be 100% vaccination rate world wide. Failure to do so leads to endemic SARS-CoV-2 at the very least.,severuduw,"Edmonds, WA"
461,"""Clearly an anti-mandatory vaccination graphic"" that... is also clearly in the shape of a swastika. https://t.co/pab9sgfHvr",ramsberry1,"Washington, DC"
462,"@maddow Hi Rachel,
Segment suggestion: listing the companies with high vaccination compliance so folks can support… https://t.co/DWA91wyZos",Connemara2019,United States
463,Flu vaccination at the NE Market @JHUNursing Community First https://t.co/rEMav9Ebq5,CGLingPhDFNP,
464,"#A2Council has previously endorsed our staff vaccine mandate, and it remains a critically important policy to keep… https://t.co/tQ4D7hR4jB",TravisRadina,"Ann Arbor, MI"
465,@SanDiegoJameson @TransUnicornGal @Steve05842687 @GeorgeTakei Did he survive the bad reaction you attribute to the… https://t.co/4IE0XV0j8x,TexasLegalGuy,"Arlington, TX"
466,@kgfreestate @Russo4Ohio @nanwhaley @SouthwestAir Vaccination is the answer,JoseFCuartas,"Columbus , oh"
467,"@SpreaderB @SixxxMillion @TheRalphRetort Vaccination greatly decreases hospitalizations and death. In turn, lessens… https://t.co/6vhRaZ35Vg",AraujoTomas1,"Baytown, TX"
468,"@timcampbell1954 We were in Canada over the weekend. Everywhere we went, we had to show our ID and vaccination card… https://t.co/qG2KW3B5T1",bhultz1011,"Cleveland, OH"
469,See what I mean...you never know. You might breathe on in or suck it in your throat by accident and ( you tell me?… https://t.co/ZV5iQ4EJ4H,1punchy7,"Lake Worth(Tree city),FL ♡"
470,https://t.co/j63MD2MZVU Today’s employment report for September was surprisingly weak in terms of job growth—only 1… https://t.co/G9Rxt5ByMO,OsoTaxService,"Utah, USA"
471,This can’t actually be the decision that was made.  Preventing someone from living via transplant because of a vacc… https://t.co/TvHm4Vh0ua,joelaxin2,Maryland
472,"Proof a vaccination to enter a theater?
What's next? Proof of a ticket purchase? https://t.co/b3Jg6v3o38",schnoggo,"Minneapolis, MN, USA"
